id|description|type|placeholders|ca|de|en|es|fr
every_month_on_the|||null|||Every month on the||
last_day_month|||null|||Last day of the month||
last|||null|||Last||
of_the_month|||null|||of the month||
some_months_dont|||null|||Some months don't have||
those_will_be_last_day_month|||null|||days and those the date will be the last day of the month.||
upcoming_desc|||null|||The form is not available until the form availability date is reached||
ready_desc|||null|||The form is ready to fill out but has not been filled, and not started.||
draft_desc|||null|||The form is being filled. Not used now.||
finished_desc|||null|||The form has been fully filled out.||
expired_desc|||null|||The form due date has been passed.||
skipped_desc|||null|||The user has decided to not fill this form.||
must_answer_question|||null|||You must answer the current question before continuing||
form_saved|||null|||Form saved successfully||
error_form_uhda|||null|||Error saving form in UHDA||
error_loading_form|||null|||Error loading form||
update_current_goal|||null|||Update current goal||
task_updated|||null|||Task updated successfully||
apply_change_from|||null|||Apply change from||
change_goal_to|||null|||Change goal to||
update_goal|||null|||Update goal||
activity_goals_updated|||null|||Activity goals updated successfully||
finish|||null|||Finish||
steps_day|||null|||Steps/day||
finish_appointment|||null|||Finish appointment||
finish_reason|||null|||Finish appointment reason||
patients_device|||null|||Patient's device||
hospital_device|||null|||Hospital device||
select_device|||null|||Select device||
calories|||null|||Calories||
distance|||null|||Distance||
daily_steps|||null|||Daily steps||
weekly_avg_steps|||null|||Weekly average steps||
weight|||null|||Weight||
following_questionnaires|||null|||The following questionnaires are not filled yet:||
if_finish_appointment|||null|||If you finish the appointment, they will be marked as not filled. Do you want to continue?||
care_plan|||null|||Care plan||
no_messages|||null|||No messages||
unread_messages|||null|||unread messages||
unread_message|||null|||unread message||
with_messages|||null|||With messages||
chat_specialists|||null|||Chat for specialists||
monitoring_activity_constants|||null|||Monitoring activity constants||
changes_override|||null|||The following changes will be overridden||
appointment_type|||null|||Appointment type||
activity_no_configuration|||null|||This activity type does not need specific configuration.||
report|||null|||Report||
new_|||null|||New||
error|||null|||Error||
download_pdf|||null|||Download as PDF||
generate_again|||null|||Generate again||
report_generated_at|||null|||Report generated at||
goals|||null|||Goals||
report_generated|||null|||Report generated|Informe generado|
report_generation_error|||null|||Error generating report. Please check that forms are filled correctly.|No se ha podido generar el informe. Por favor, revise que se han rellenado los formularios correctamente.|
finish_report_task|||null|||Finish report task||
e2002|||null|||TimeZone is not defined for the request.||
e2003|||null|||Invalid UUID format. Please provide a valid UUID.||
e2004|||null|||Please refine your input values. %s||
e2012|||null|||Activity not found||
e2011|||null|||Patient already has a treatment in progress. Patient is already in an ongoing treatment with same protocol.||
e2010|||null|||Treatment not found, treatmentId: %s||
e2013|||null|||Activity already configured, treatmentId: %s, activityId: %s||
e2015|||null|||Task not found, taskId: %s||
e2016|||null|||Task not found, taskId: %s||
e2017|||null|||Task not found, taskId: %s||
e2018|||null|||Task not found, taskId: %s||
e2050|||null|||Forms defined in the Protocol not found: %s||
e2051|||null|||Protocol defined Content Library not found: %s||
e2101|||null|||Activity already configured, treatmentId: %s, activityId: %s||
e2201|||null|||Error completing appointment task, taskId: %s||
e2202|||null|||Appointment task already started, taskId: %s||
e2203|||null|||Appointment task is not In progress, so can’t be finished, taskId: %s||
e2204|||null|||Appointment task cannot be cancelled, taskId: %s||
e2205|||null|||Appointment task cannot be updated, taskId: %s||
e2206|||null|||Appointment task cannot be rescheduled, taskId: %s||
e2207|||null|||Forms cannot be filled, because the appointment has ended.||
e2208|||null|||Appointment task, form not found: %s||
e2209|||null|||Appointment task cannot be finished by patient||
e2210|||null|||Appointment task cannot be finished because still have mandatory forms to be filled out.||
e2211|||null|||Appointment task is not in Scheduled state, so can’t be finished by the patient, taskId: %s||
e2212|||null|||Appointment of type Patient Task is not allowed when having forms not assigned to Patient.||
e2301|||null|||Form can not be filled, because is not available yet.||
e2302|||null|||Form cannot be filled, because has been already filled.||
e2303|||null|||Form cannot be filled, because has expired or has been skipped.||
e2401|||null|||Monitoring activity config form adapter type not match, type: %s, treatmentId: %s, activityId: %s||
e2402|||null|||Monitoring Task Definition not found.||
e2403|||null|||Monitoring Task is expired.||
e2404|||null|||Monitoring task manual input forbidden.||
e2405|||null|||Monitoring Goals can no longer be updated.||
e2501|||null|||Content Delivery Task Item not found: %s.||
e2502|||null|||Content Delivery Task Item already read. Item id: %s.||
e2503|||null|||Content Delivery Task not able to read, either has not been delivered yet or has already finished.||
e2550|||null|||Content Library not found: %s.||
e2551|||null|||Content Library Item not found: %s.||
e3001|||null|||No search parameter has been entered for the patient. Please enter at least one character to perform the search.||
e3002|||null|||You have exceeded the maximum number of results allowed to be returned for this search. Please refine your search for more accurate results. The maximum number of results allowed is %s.||
e3003|||null|||Invalid UUID format. Please provide a valid UUID.||
e3004|||null|||Invalid input format. Please refine your input values. %s||
e3005|||null|||Patient with that information already exists in our records. Please check the entered details and try again||
e3006|||null|||This email already registered as a user. Please check and retry.||
e3007|||null|||Error creating User, Response Status: %s||
e3008|||null|||Error activating user. Please check email.||
e3010|||null|||Party not found, partyId: %s||
e3014|||null|||Treatment service not found.||
e3015|||null|||Health Professional has treatments assigned||
e3016|||null|||Treatment service unavailable||
e3017|||null|||Health professional with that information already exists in our records. Please check the entered details and try again||
e3018|||null|||Party has treatments assigned||
e3019|||null|||You don't have permission to access this resource||
e3020|||null|||Party not found, authId: %s||
e3100|||null|||More than one user with partyId: %s||
e3101|||null|||The 'PATIENT' role cannot be assigned simultaneously with other roles in a party.||
e3102|||null|||Invalid Role list format. Please provide a valid Role list.||
e3103|||null|||Invalid Specialties list format. Please provide a valid Specialties list.||
e3201|||null|||Party is already active||
e3202|||null|||Party is already disabled||
e4001|||null|||Treatment Monitoring Configuration not found||
e4003|||null|||Invalid UUID format. Please provide a valid UUID.||
e4004|||null|||Invalid input. Please refine your input values for this mutation.||
e4010|||null|||Party not found||
e4011|||null|||Party is not a Patient||
e4012|||null|||The device was not registered.||
e4401|||null|||The operation is not permitted.||
i2039|||null|||Scheduler must be not null||
i2040|||null|||Start time must be in the future||
i2041|||null|||End datetime must be after start datetime||
i2042|||null|||Not valid appointment type||
i2043|||null|||Appointment must have at least one participant||
i2044|||null|||Appointment of type Patient Task is not allowed when having forms not assigned to Patient.||
i2045|||null|||Answer not available at providerForms||
i2046|||null|||Appointment type must be not null||
i2049|||null|||Recurrence ending type is required||
i2053|||null|||If there are pending mandatory forms is needed to provide a finish appointment reason.||
i2055|||null|||Monitoring start date is null.||
i2056|||null|||Monitoring start date is in the past.||
i2057|||null|||Monitoring end date is null.||
i2058|||null|||Monitoring end date is in the past.||
i2059|||null|||Monitoring end date is before monitoring start date.||
i2060|||null|||Monitoring task definitions is null.||
i2061|||null|||Monitoring daily steps goal is null.||
i2062|||null|||Date for apply change from is null.||
i2063|||null|||Date for apply change from must be before or today.||
i2064|||null|||Content delivery not found.||
i2065|||null|||Invalid number of items.||
i2066|||null|||Invalid items.||
i2067|||null|||Invalid profile id.||
i2068|||null|||Missing library name.||
i2069|||null|||Monitoring data source can't be null.||
i4001|||null|||Device type null or not allowed.||
i4002|||null|||Device Id cannot be null||
i4003|||null|||Patient Id is null or invalid uuid||
e1login|||null|||Login||
e1dashboard|||null|||My treatments||
e1notFound|||null|||Not Found||
e1treatment|||null|||Treatment||
